source,target
ChEMBL:119443,DOID:9878
ChEMBL:119443,DOID:2177
ChEMBL:119443,DOID:11711
ChEMBL:119443,DOID:1257
ChEMBL:119443,OMIM:605115
ChEMBL:119443,DOID:12269
ChEMBL:119443,DOID:11271
ChEMBL:119443,DOID:4285
ChEMBL:119443,OMIM:614972
ChEMBL:119443,OMIM:147480
ChEMBL:119443,DOID:9667
ChEMBL:1405447,DOID:9878
ChEMBL:1405447,DOID:2177
ChEMBL:1405447,DOID:11711
ChEMBL:1405447,DOID:1257
ChEMBL:1405447,OMIM:605115
ChEMBL:1405447,DOID:12269
ChEMBL:1405447,DOID:11271
ChEMBL:1405447,DOID:4285
ChEMBL:1405447,OMIM:614972
ChEMBL:1405447,OMIM:147480
ChEMBL:1405447,DOID:0050014
ChEMBL:1405447,DOID:11248
ChEMBL:1405447,DOID:2213
ChEMBL:1575,DOID:12282
ChEMBL:1575,DOID:3875
ChEMBL:1575,DOID:10880
ChEMBL:1624,DOID:757
ChEMBL:1624,DOID:12839
ChEMBL:1624,DOID:7997
ChEMBL:1624,DOID:9552
ChEMBL:1624,OMIM:613743
ChEMBL:1624,DOID:0050546
ChEMBL:1624,DOID:10493
ChEMBL:1624,DOID:5843
ChEMBL:1624,OMIM:608557
ChEMBL:1624,DOID:5848
ChEMBL:1624,DOID:5844
ChEMBL:1624,OMIM:608446
ChEMBL:1201139,DOID:9878
ChEMBL:1201139,DOID:2177
ChEMBL:1201139,DOID:11711
ChEMBL:1201139,DOID:1257
ChEMBL:1201139,OMIM:605115
ChEMBL:1201139,DOID:12269
ChEMBL:1201139,DOID:11271
ChEMBL:1201139,DOID:4285
ChEMBL:1201139,OMIM:614972
ChEMBL:1201139,OMIM:147480
ChEMBL:559,OMIM:616483
ChEMBL:559,OMIM:613070
ChEMBL:559,OMIM:615438
ChEMBL:559,OMIM:613845
ChEMBL:559,OMIM:242530
ChEMBL:559,OMIM:254900
ChEMBL:559,OMIM:161900
ChEMBL:559,OMIM:310468
ChEMBL:559,DOID:9518
ChEMBL:559,DOID:11705
ChEMBL:559,DOID:1074
ChEMBL:559,OMIM:210550
ChEMBL:559,DOID:9653
ChEMBL:559,OMIM:604329
ChEMBL:559,OMIM:145500
ChEMBL:559,OMIM:112410
ChEMBL:559,OMIM:161900
ChEMBL:559,OMIM:500005
ChEMBL:559,OMIM:610948
ChEMBL:559,OMIM:610262
ChEMBL:559,OMIM:610261
ChEMBL:559,OMIM:166990
ChEMBL:559,OMIM:605115
ChEMBL:559,DOID:10763
ChEMBL:559,DOID:11271
ChEMBL:559,OMIM:608622
ChEMBL:559,OMIM:607329
ChEMBL:559,OMIM:608742
ChEMBL:559,OMIM:611014
ChEMBL:559,OMIM:603918
ChEMBL:559,DOID:6000
ChEMBL:559,OMIM:119800
ChEMBL:559,DOID:0060828
ChEMBL:559,DOID:9814
ChEMBL:559,DOID:0050827
ChEMBL:559,DOID:9878
ChEMBL:559,DOID:2177
ChEMBL:559,DOID:11711
ChEMBL:559,DOID:1257
ChEMBL:559,OMIM:605115
ChEMBL:559,DOID:12269
ChEMBL:559,DOID:11271
ChEMBL:559,DOID:4285
ChEMBL:559,OMIM:614972
ChEMBL:559,OMIM:147480
ChEMBL:442,DOID:341
ChEMBL:442,DOID:0050830
ChEMBL:442,OMIM:610938
ChEMBL:442,OMIM:611139
ChEMBL:442,OMIM:607339
ChEMBL:442,OMIM:614466
ChEMBL:442,OMIM:608316
ChEMBL:442,OMIM:608318
ChEMBL:442,OMIM:300464
ChEMBL:442,OMIM:612030
ChEMBL:442,OMIM:608901
ChEMBL:442,DOID:1042
ChEMBL:442,OMIM:613387
ChEMBL:442,OMIM:613282
ChEMBL:442,OMIM:617093
ChEMBL:442,DOID:409
ChEMBL:442,OMIM:219400
ChEMBL:442,DOID:0050082
ChEMBL:442,OMIM:235550
ChEMBL:442,OMIM:615486
ChEMBL:442,OMIM:605944
ChEMBL:442,DOID:9452
ChEMBL:442,OMIM:263200
ChEMBL:442,DOID:9878
ChEMBL:442,DOID:2177
ChEMBL:442,DOID:11711
ChEMBL:442,DOID:1257
ChEMBL:442,OMIM:605115
ChEMBL:442,DOID:12269
ChEMBL:442,DOID:11271
ChEMBL:442,DOID:4285
ChEMBL:442,OMIM:614972
ChEMBL:442,OMIM:147480
ChEMBL:442,DOID:9653
ChEMBL:442,OMIM:604329
ChEMBL:442,OMIM:145500
ChEMBL:442,OMIM:112410
ChEMBL:442,OMIM:161900
ChEMBL:442,OMIM:500005
ChEMBL:442,OMIM:610948
ChEMBL:442,OMIM:610262
ChEMBL:442,OMIM:610261
ChEMBL:442,OMIM:166990
ChEMBL:442,OMIM:605115
ChEMBL:442,DOID:10763
ChEMBL:442,DOID:11271
ChEMBL:442,OMIM:608622
ChEMBL:442,OMIM:607329
ChEMBL:442,OMIM:608742
ChEMBL:442,OMIM:611014
ChEMBL:442,OMIM:603918
ChEMBL:442,OMIM:613159
ChEMBL:442,OMIM:616414
ChEMBL:442,DOID:581
ChEMBL:442,OMIM:611773
ChEMBL:442,OMIM:219900
ChEMBL:442,OMIM:602114
ChEMBL:442,OMIM:609057
ChEMBL:442,OMIM:256120
ChEMBL:442,OMIM:256020
ChEMBL:442,OMIM:146255
ChEMBL:442,OMIM:172500
ChEMBL:442,OMIM:314000
ChEMBL:442,OMIM:182690
ChEMBL:442,DOID:782
ChEMBL:442,OMIM:219800
ChEMBL:442,DOID:0060878
ChEMBL:442,OMIM:209010
ChEMBL:442,OMIM:609469
ChEMBL:442,DOID:557
ChEMBL:442,DOID:11271
ChEMBL:442,OMIM:609886
ChEMBL:442,DOID:0111117
ChEMBL:442,OMIM:551200
ChEMBL:442,DOID:2388
ChEMBL:442,DOID:2980
ChEMBL:109,OMIM:613387
ChEMBL:109,OMIM:613282
ChEMBL:109,OMIM:617093
ChEMBL:109,DOID:409
ChEMBL:109,OMIM:219400
ChEMBL:109,DOID:0050082
ChEMBL:109,OMIM:235550
ChEMBL:109,OMIM:615486
ChEMBL:109,OMIM:605944
ChEMBL:109,DOID:9452
ChEMBL:109,OMIM:263200
ChEMBL:109,DOID:9878
ChEMBL:109,DOID:2177
ChEMBL:109,DOID:11711
ChEMBL:109,DOID:1257
