count,source,target
1,ChEMBL:1000,DOID:0050661
2,ChEMBL:1000,DOID:0050801
1,ChEMBL:1000,DOID:0060030
55,ChEMBL:1000,DOID:0060497
1,ChEMBL:1000,DOID:10603
1,ChEMBL:1000,DOID:10764
1,ChEMBL:1000,DOID:12104
2,ChEMBL:1000,DOID:12236
1,ChEMBL:1000,DOID:12309
1,ChEMBL:1000,DOID:12881
3,ChEMBL:1000,DOID:14443
14,ChEMBL:1000,DOID:2841
1,ChEMBL:1000,DOID:2945
41,ChEMBL:1000,DOID:4481
1,ChEMBL:1000,DOID:743
2,ChEMBL:1000,DOID:783
1,ChEMBL:1000,DOID:9415
4,ChEMBL:1000,DOID:9761
2,ChEMBL:1000,DOID:999
9,ChEMBL:1000,OMIM:191950
4,ChEMBL:1000,OMIM:207410
4,ChEMBL:1000,OMIM:210550
1,ChEMBL:1000,OMIM:233810
1,ChEMBL:1000,OMIM:603165
1,ChEMBL:1000,OMIM:612633
2,ChEMBL:1000,OMIM:614204
9,ChEMBL:1000,OMIM:617638
1,ChEMBL:100259,OMIM:207410
1,ChEMBL:100259,OMIM:601847
26,ChEMBL:1002,DOID:2841
1,ChEMBL:1002,DOID:9362
10,ChEMBL:1002,OMIM:606963
1,ChEMBL:1004,DOID:535
1,ChEMBL:1005,DOID:0060751
1,ChEMBL:1005,DOID:0110351
1,ChEMBL:1005,DOID:0110653
8,ChEMBL:1005,DOID:10569
1,ChEMBL:1005,DOID:11162
1,ChEMBL:1005,DOID:11338
1,ChEMBL:1005,DOID:13576
1,ChEMBL:1005,DOID:14686
1,ChEMBL:1005,DOID:1712
1,ChEMBL:1005,DOID:2446
1,ChEMBL:1005,DOID:349
1,ChEMBL:1005,DOID:4195
3,ChEMBL:1005,DOID:437
1,ChEMBL:1005,DOID:440
2,ChEMBL:1005,DOID:783
1,ChEMBL:1005,DOID:784
1,ChEMBL:1005,DOID:7998
1,ChEMBL:1005,DOID:8765
1,ChEMBL:1005,DOID:9997
1,ChEMBL:1005,OMIM:137560
1,ChEMBL:1005,OMIM:163800
1,ChEMBL:1005,OMIM:189800
1,ChEMBL:1005,OMIM:193400
3,ChEMBL:1005,OMIM:210550
4,ChEMBL:1005,OMIM:280000
1,ChEMBL:1005,OMIM:540000
15,ChEMBL:1005,OMIM:601665
2,ChEMBL:1005,OMIM:602668
1,ChEMBL:1005,OMIM:603918
1,ChEMBL:1005,OMIM:608446
2,ChEMBL:1005,OMIM:608901
1,ChEMBL:1005,OMIM:611031
5,ChEMBL:1005,OMIM:611522
1,ChEMBL:1005,OMIM:612096
3,ChEMBL:1005,OMIM:613658
4,ChEMBL:1007,DOID:0110750
1,ChEMBL:1007,DOID:10569
7,ChEMBL:1007,DOID:11432
1,ChEMBL:1007,DOID:12252
1,ChEMBL:1007,DOID:12336
11,ChEMBL:1007,DOID:13938
1,ChEMBL:1007,DOID:14227
2,ChEMBL:1007,DOID:14228
1,ChEMBL:1007,DOID:1875
1,ChEMBL:1007,DOID:2449
1,ChEMBL:1007,DOID:288
1,ChEMBL:1007,DOID:3614
4,ChEMBL:1007,DOID:3781
1,ChEMBL:1007,DOID:3890
12,ChEMBL:1007,DOID:5223
1,ChEMBL:1007,DOID:5575
2,ChEMBL:1007,DOID:784
1,ChEMBL:1007,OMIM:174800
11,ChEMBL:1007,OMIM:182820
22,ChEMBL:1007,OMIM:184700
1,ChEMBL:1007,OMIM:212112
1,ChEMBL:1007,OMIM:263700
1,ChEMBL:1007,OMIM:270200
3,ChEMBL:1007,OMIM:300148
3,ChEMBL:1007,OMIM:305700
1,ChEMBL:1007,OMIM:308200
3,ChEMBL:1007,OMIM:601665
2,ChEMBL:1007,OMIM:609893
1,ChEMBL:1007,OMIM:610021
1,ChEMBL:1007,OMIM:612401
12,ChEMBL:1007,OMIM:614840
5,ChEMBL:1007,OMIM:615555
1,ChEMBL:1007,OMIM:615889
2,ChEMBL:1007,OMIM:616577
2,ChEMBL:1008,DOID:0110043
1,ChEMBL:1008,DOID:0110307
1,ChEMBL:1008,DOID:0111151
2,ChEMBL:1008,DOID:10913
1,ChEMBL:1008,DOID:2841
1,ChEMBL:1008,DOID:326
1,ChEMBL:1008,DOID:783
3,ChEMBL:1008,DOID:8805
3,ChEMBL:1008,DOID:9408
2,ChEMBL:1008,OMIM:234700
1,ChEMBL:1008,OMIM:601367
2,ChEMBL:1008,OMIM:603829
2,ChEMBL:1008,OMIM:608446
7,ChEMBL:1008,OMIM:608901
1,ChEMBL:1008,OMIM:612422
2,ChEMBL:1008,OMIM:613600
1,ChEMBL:1008,OMIM:616399
2,ChEMBL:1009,DOID:0050193
1,ChEMBL:1009,DOID:0050561
1,ChEMBL:1009,DOID:0050659
4,ChEMBL:1009,DOID:0050835
1,ChEMBL:1009,DOID:0060172
1,ChEMBL:1009,DOID:0060814
2,ChEMBL:1009,DOID:0060828
2,ChEMBL:1009,DOID:0060891
1,ChEMBL:1009,DOID:0110043
1,ChEMBL:1009,DOID:0110750
1,ChEMBL:1009,DOID:0110790
1,ChEMBL:1009,DOID:0110892
2,ChEMBL:1009,DOID:10273
1,ChEMBL:1009,DOID:12092
3,ChEMBL:1009,DOID:12252
1,ChEMBL:1009,DOID:12382
2,ChEMBL:1009,DOID:1287
